ID;year;date;TL;pop_size_meancentered;island_name;island_ID;brood_ID;sampling_age_days;clutch_size;sex;tarsus;mass;tarsus_agecorrected;condition;hatch_date;hatchday_meancentered;firstyear_survival;min_lifespan_days;censored;dispersal
2154;2010;10.06.2010;2.1;4.318181818;traena;23;2010.23.A.273.A.2;12;6;2;18.62;25.7;-0.043064226;0.043230253;29.05.2010;-19.33394028;1;858;2;0
2155;2010;10.06.2010;2.23;4.318181818;traena;23;2010.23.A.273.A.2;12;6;1;19.03;26.8;0.373824005;0.159691882;29.05.2010;-19.33394028;1;403;2;0
2156;2010;10.06.2010;2.37;4.318181818;traena;23;2010.23.A.273.A.2;12;6;2;18.87;26.8;0.206935774;0.543641409;29.05.2010;-19.33394028;0;62;2;0
2157;2010;10.06.2010;2.5;4.318181818;traena;23;2010.23.A.352.A.1;10;5;2;17.45;17.3;-0.581933973;-5.556080013;31.05.2010;-17.33394028;0;10;2;0
2158;2010;10.06.2010;3.59;4.318181818;traena;23;2010.23.A.352.A.1;10;5;1;17.18;16.5;-1.007845495;-5.711027439;31.05.2010;-17.33394028;0;10;2;0
2159;2010;10.06.2010;2.09;4.318181818;traena;23;2010.23.A.352.A.1;10;5;1;17.22;17.9;-0.967845495;-4.406560958;31.05.2010;-17.33394028;0;10;2;0
2160;2010;22.06.2010;1.14;4.318181818;traena;23;2010.23.A.377.A.1;11;5;1;17.29;15.7;-1.200249387;-6.773769578;11.06.2010;-6.333940277;0;11;2;0
2161;2010;26.06.2010;0.89;4.318181818;traena;23;2010.23.A.279.A.1;9;6;1;17.82;24.9;0.071035679;1.159191377;17.06.2010;-0.333940277;1;1881;2;0
2162;2010;26.06.2010;0.92;4.318181818;traena;23;2010.23.A.279.A.1;9;6;2;17.31;23.9;-0.279075448;1.378450695;17.06.2010;-0.333940277;0;9;2;0
2163;2010;02.07.2010;1;4.318181818;traena;23;2010.23.A.355.A.1;12;5;2;17.76;25;-0.903064226;1.40272118;20.06.2010;2.666059723;1;533;2;0
2164;2010;04.07.2010;1.1;4.318181818;traena;23;2010.23.A.262.A.2;9;6;2;17.33;17.8;-0.259075448;-4.769331626;25.06.2010;7.666059723;0;12;2;0
2165;2010;16.07.2010;0.84;4.318181818;traena;23;2010.23.A.284.A.2;11;6;2;19.26;21.6;0.870069768;-5.59252636;05.07.2010;17.66605972;1;407;2;0
2166;2010;16.07.2010;1.2;4.318181818;traena;23;2010.23.A.284.A.2;11;6;1;19.45;24.1;0.959750613;-3.548965349;05.07.2010;17.66605972;0;80;2;0
2167;2010;16.07.2010;1.04;4.318181818;traena;23;2010.23.A.284.A.2;11;6;2;18.73;23.3;0.340069768;-2.620538914;05.07.2010;17.66605972;1;371;2;0
2168;2010;19.07.2010;0.76;4.318181818;traena;23;2010.23.A.273.A.3;11;4;1;19.85;32.4;1.359750613;3.789345381;08.07.2010;20.66605972;1;1298;2;1
2169;2010;19.07.2010;1.14;4.318181818;traena;23;2010.23.A.273.A.3;11;4;2;20.41;31;2.020069768;1.04123757;08.07.2010;20.66605972;1;637;2;0
2170;2010;19.07.2010;1.01;4.318181818;traena;23;2010.23.A.273.A.3;11;4;2;19.47;30.5;1.080069768;2.802974826;08.07.2010;20.66605972;0;20;2;0
2171;2010;19.07.2010;0.76;4.318181818;traena;23;2010.23.A.256.A.2;10;4;2;20.75;29.6;2.718066027;-1.178248473;09.07.2010;21.66605972;1;429;2;0
2172;2010;19.07.2010;0.96;4.318181818;traena;23;2010.23.A.256.A.2;10;4;2;20.27;26.5;2.238066027;-3.121544855;09.07.2010;21.66605972;1;361;2;0
2173;2010;19.07.2010;0.68;4.318181818;traena;23;2010.23.A.256.A.2;10;4;2;20.39;28.7;2.358066027;-1.21058071;09.07.2010;21.66605972;1;510;2;0
2174;2010;21.07.2010;0.9;4.318181818;traena;23;2010.23.A.352.A.2;11;6;1;18.97;26;0.479750613;-0.496307594;10.07.2010;22.66605972;1;314;2;0
2175;2010;01.08.2010;0.84;4.318181818;traena;23;2010.23.A.377.A.2;13;5;1;17.76;25.6;-0.925625321;2.00272118;19.07.2010;31.66605972;0;67;2;0
2176;2010;28.07.2010;0.67;4.318181818;traena;23;2010.23.A.255.A.1;9;6;1;20.2;28.5;2.451035679;-0.952983723;19.07.2010;31.66605972;1;1454;2;1
2177;2010;28.07.2010;1.03;4.318181818;traena;23;2010.23.A.255.A.1;9;6;1;19.41;24;1.661035679;-3.552853479;19.07.2010;31.66605972;1;501;2;0
2178;2010;28.07.2010;0.99;4.318181818;traena;23;2010.23.A.255.A.1;9;6;1;18.27;19.8;0.521035679;-5.01802616;19.07.2010;31.66605972;1;628;2;0
2179;2010;25.07.2010;1.1;91.5;hestmannoey;27;2010.27.B.67.A.4;8;6;2;17.44159339;24.06395148;0.27613139;NA;17.07.2010;29.66605972;0;15;2;0
2180;2010;03.08.2010;0.95;91.5;hestmannoey;27;2010.27.B.194.A.2;12;5;2;20.05;30.3;1.24273307;1.208111721;22.07.2010;34.66605972;0;12;2;0
2181;2010;03.08.2010;0.79;91.5;hestmannoey;27;2010.27.B.194.A.2;12;5;1;19.22;27.1;0.399681922;0.003536233;22.07.2010;34.66605972;0;12;2;0
2182;2010;05.08.2010;1.87;91.5;hestmannoey;27;2010.27.B.129.A.3;11;4;2;19.64;26.2;1.116956464;-1.905638401;25.07.2010;37.66605972;0;11;2;0
2183;2010;05.08.2010;1.17;91.5;hestmannoey;27;2010.27.B.129.A.3;11;4;2;20.79;25.9;2.266956464;-4.974707872;25.07.2010;37.66605972;0;11;2;0
2184;2010;05.08.2010;0.86;91.5;hestmannoey;27;2010.27.B.129.A.3;11;4;1;20.63;30.5;2.082324444;0.011067481;25.07.2010;37.66605972;0;11;2;0
2185;2010;05.08.2010;1.31;91.5;hestmannoey;27;2010.27.B.129.A.3;11;4;2;20.42;28;1.896956464;-1.982854263;25.07.2010;37.66605972;0;11;2;0
2186;2010;05.08.2010;1.69;91.5;hestmannoey;27;2010.27.B.75.A.2;5;5;2;NA;NA;NA;NA;31.07.2010;43.66605972;0;5;2;0
2187;2010;05.08.2010;1.02;91.5;hestmannoey;27;2010.27.B.75.A.2;5;5;2;NA;NA;NA;NA;31.07.2010;43.66605972;0;5;2;0
2188;2010;05.08.2010;0.8;91.5;hestmannoey;27;2010.27.B.75.A.2;5;5;1;NA;NA;NA;NA;31.07.2010;43.66605972;0;5;2;0
2189;2010;15.08.2010;0.63;91.5;hestmannoey;27;2010.27.B.71.A.2;9;3;1;16.62;20.4;-1.081359952;-0.474647444;06.08.2010;49.66605972;1;315;2;0
2190;2010;15.08.2010;0.83;91.5;hestmannoey;27;2010.27.B.71.A.2;9;3;1;17.47;23;-0.231359952;0.096119512;06.08.2010;49.66605972;0;52;2;0
2191;2010;15.08.2010;0.91;91.5;hestmannoey;27;2010.27.B.98.A.2;10;5;2;18.03;22.4;-0.12466825;-1.84334675;05.08.2010;48.66605972;0;52;2;0
2192;2010;15.08.2010;0.95;91.5;hestmannoey;27;2010.27.B.98.A.2;10;5;1;17.12;18.8;-1.054689514;-3.267746612;05.08.2010;48.66605972;0;52;2;0
2193;2010;15.08.2010;1.32;91.5;hestmannoey;27;2010.27.B.98.A.2;10;5;1;17.94;21;-0.234689514;-3.027938255;05.08.2010;48.66605972;1;368;2;0
2194;2010;15.08.2010;0.88;91.5;hestmannoey;27;2010.27.B.98.A.2;10;5;1;18.26;21;0.085310486;-3.794073728;05.08.2010;48.66605972;0;52;2;0
2195;2010;09.07.2010;1.14;91.5;hestmannoey;27;2010.27.B.33.A.1;14;5;2;20.28;29.5;1.156741954;-0.14562761;25.06.2010;7.666059723;0;14;2;0
2196;2010;09.07.2010;0.89;91.5;hestmannoey;27;2010.27.B.84.A.1;12;5;1;19.87;30.1;1.049681922;1.441233686;27.06.2010;9.666059723;0;12;2;0
2197;2010;03.07.2010;0.83;91.5;hestmannoey;27;2010.27.B.84.A.1;6;5;2;NA;26;NA;NA;27.06.2010;9.666059723;0;6;2;0
2198;2010;03.07.2010;1.2;91.5;hestmannoey;27;2010.27.B.84.A.1;6;5;2;NA;24.5;NA;NA;27.06.2010;9.666059723;0;6;2;0
2199;2010;07.07.2010;0.74;91.5;hestmannoey;27;2010.27.B.63.A.1;10;6;2;18.79;29.6;0.63533175;3.535553929;27.06.2010;9.666059723;0;10;2;0
2200;2010;07.07.2010;0.78;91.5;hestmannoey;27;2010.27.B.63.A.1;10;6;2;17.88;27.4;-0.27466825;3.515638232;27.06.2010;9.666059723;0;10;2;0
2201;2010;10.07.2010;0.91;91.5;hestmannoey;27;2010.27.B.199.A.1;11;5;1;19.61;26.2;1.062324444;-1.833516569;29.06.2010;11.66605972;0;95;2;0
2202;2010;10.07.2010;0.91;91.5;hestmannoey;27;2010.27.B.199.A.1;11;5;1;20.51;31.5;1.962324444;1.300290068;29.06.2010;11.66605972;1;1117;2;0
2203;2010;07.07.2010;1.3;91.5;hestmannoey;27;2010.27.B.199.A.1;11;5;1;20.29;30;1.742324444;0.330288986;29.06.2010;11.66605972;0;25;2;0
2204;2010;10.07.2010;1.39;91.5;hestmannoey;27;2010.27.B.199.A.1;11;5;1;19.41;25.9;0.862324444;-1.652853479;29.06.2010;11.66605972;0;11;2;0
2205;2010;10.07.2010;0.82;91.5;hestmannoey;27;2010.27.B.71.A.1;11;6;2;19.34;26.7;0.816956464;-0.684682669;29.06.2010;11.66605972;1;836;2;0
2206;2010;10.07.2010;0.93;91.5;hestmannoey;27;2010.27.B.71.A.1;11;6;2;19.55;26.6;1.026956464;-1.28929041;29.06.2010;11.66605972;0;11;2;0
2207;2010;10.07.2010;0.67;91.5;hestmannoey;27;2010.27.B.71.A.1;11;6;1;18.26;22.5;-0.287675556;-2.294073728;29.06.2010;11.66605972;0;11;2;0
2208;2010;10.07.2010;0.94;91.5;hestmannoey;27;2010.27.B.71.A.1;11;6;2;19.21;27;0.686956464;-0.07244974;29.06.2010;11.66605972;1;343;2;0
2209;2010;10.07.2010;0.68;91.5;hestmannoey;27;2010.27.B.71.A.1;11;6;2;19.88;29.5;1.356956464;0.817176866;29.06.2010;11.66605972;0;11;2;0
2210;2010;07.07.2010;0.89;91.5;hestmannoey;27;2010.27.B.63.A.1;10;6;1;15.62;14.7;-2.554689514;-3.793311925;27.06.2010;9.666059723;0;12;2;0
